img,box,obj,cls,loss
tharsis_11_34h,0.065438814,0.028495632,0.0,0.09393445
syrtismajor_24_0h,0.07140498,0.022519687,0.0,0.093924664
oxiapalus_50_24h,0.056850106,0.037068885,0.0,0.093918994
arabia_62_20,0.040591825,0.053274132,0.0,0.09386596
arabia_62_20v,0.040865656,0.05289813,0.0,0.09376378
oxiapalus_40_26h,0.053667344,0.03997582,0.0,0.09364316
syrtismajor_19_4v,0.056702327,0.036934514,0.0,0.09363684
arabia_45_12h,0.041074682,0.05244901,0.0,0.093523696
amazonis_0_32vh,0.044896502,0.04861757,0.0,0.09351407
elysium_19_35,0.053215068,0.040016096,0.0,0.093231164
amenthes_48_35vh,0.056023635,0.03712286,0.0,0.093146496
oxiapalus_40_26vh,0.052216865,0.04085094,0.0,0.09306781
amenthes_48_35,0.05707493,0.03593517,0.0,0.0930101
syrtismajor_31_0h,0.04525096,0.047656342,0.0,0.0929073
margaritifersinus_20_34vh,0.055416882,0.036993075,0.0,0.09240995
elysium_50_24,0.05493778,0.0373632,0.0,0.09230098
syrtismajor_17_13vh,0.07094463,0.021070812,0.0,0.092015445
oxiapalus_50_24v,0.057249505,0.034739327,0.0,0.09198883
amenthes_48_35v,0.05449867,0.03728487,0.0,0.09178354
amazonis_23_40v,0.046655454,0.04510296,0.0,0.091758415
arabia_17_21v,0.05122891,0.040502597,0.0,0.0917315
arabia_50_21,0.05580124,0.035827365,0.0,0.0916286
arabia_50_21vh,0.053455193,0.038170174,0.0,0.09162536
elysium_50_24vh,0.05761683,0.03398479,0.0,0.091601625
margaritifersinus_6_24h,0.06969613,0.021893837,0.0,0.091589965
margaritifersinus_6_24,0.062892474,0.028554935,0.0,0.09144741
elysium_50_24v,0.059189286,0.03219028,0.0,0.09137957
syrtismajor_26_11vh,0.05326515,0.038020015,0.0,0.09128517
arabia_6_37vh,0.055995036,0.035113342,0.0,0.09110838
syrtismajor_22_16vh,0.052989032,0.038006432,0.0,0.09099546
oxiapalus_53_29v,0.05034544,0.040629182,0.0,0.09097462
syrtismajor_31_0v,0.049246907,0.041712616,0.0,0.09095952
syrtismajor_48_4,0.06300845,0.027947702,0.0,0.09095615
arabia_16_21h,0.05930994,0.031639196,0.0,0.09094913
