img,box,obj,cls,loss
-11_-101_h,0.009852027,0.0053250585,0.0,0.015177085
-21_-119,0.010202031,0.0049689873,0.0,0.0151710175
3_-118_v,0.013993417,0.0011742164,0.0,0.015167633
-15_-130_vh,0.008789999,0.0063726613,0.0,0.015162661
13_-135,0.0131188035,0.0020352942,0.0,0.015154097
-1_162_v,0.009496577,0.0056522884,0.0,0.015148865
4_-99_vh,0.010699885,0.0044478127,0.0,0.015147697
-22_-125_v,0.013351825,0.0017877083,0.0,0.015139533
19_-128_v,0.0132407565,0.0018888094,0.0,0.015129566
25_-126_v,0.01231862,0.0028099273,0.0,0.015128547
27_-120,0.010841988,0.0042833285,0.0,0.015125317
1_159_h,0.010587375,0.0045348443,0.0,0.015122219
24_-132_h,0.009560092,0.0055598225,0.0,0.015119915
-10_-99_vh,0.0099642305,0.0051543284,0.0,0.015118559
-3_-91_h,0.009424377,0.005683579,0.0,0.015107956
-9_-92_v,0.011907113,0.0031978618,0.0,0.015104975
2_-135_h,0.013536054,0.0015638671,0.0,0.01509992
28_-108_h,0.010284609,0.004812999,0.0,0.015097609
-7_-93,0.011677155,0.0034166554,0.0,0.015093811
21_-126_v,0.012330739,0.0027618837,0.0,0.0150926225
-8_-116_h,0.013000644,0.0020778007,0.0,0.015078444
8_-92_h,0.012434288,0.002641755,0.0,0.015076043
13_174_v,0.008474431,0.0065996908,0.0,0.015074122
-13_-125_h,0.011489055,0.0035845677,0.0,0.015073623
24_-132,0.010199219,0.0048717274,0.0,0.015070947
16_-97_v,0.011511363,0.003544938,0.0,0.015056301
4_-103_v,0.011816136,0.0032375788,0.0,0.015053715
-2_-123_vh,0.010490688,0.004558237,0.0,0.015048925
-1_-99_h,0.01006041,0.0049833874,0.0,0.015043797
3_178_vh,0.01029054,0.004747411,0.0,0.01503795
-5_-102_h,0.010990372,0.004039783,0.0,0.015030155
-8_178_h,0.012318828,0.0027009475,0.0,0.015019775
30_-112_h,0.012590799,0.0024202277,0.0,0.0150110265
20_-132_vh,0.012159811,0.0028509258,0.0,0.015010737
-25_-96,0.007969282,0.007040438,0.0,0.01500972
-16_-122_h,0.010836019,0.004171418,0.0,0.015007437
15_-92_v,0.010821949,0.0041768802,0.0,0.014998829
2_-132_h,0.012075446,0.0029211037,0.0,0.014996549
24_-125_h,0.010794932,0.004189024,0.0,0.014983956
20_-109_v,0.009061473,0.005921397,0.0,0.01498287
12_-127,0.013306546,0.001667259,0.0,0.014973805
12_-94,0.010694364,0.0042774486,0.0,0.014971813
-13_-119_h,0.013018382,0.0019519044,0.0,0.014970286
-10_-111,0.00736475,0.007605445,0.0,0.014970195
-22_-125_vh,0.012798083,0.0021682044,0.0,0.014966288
14_-115_h,0.01159226,0.0033675,0.0,0.01495976
6_149,0.013058158,0.001900698,0.0,0.014958856
-20_-128,0.0104215145,0.004530469,0.0,0.0149519835
4_-99_h,0.01054693,0.004403916,0.0,0.014950846
8_-101_v,0.012329052,0.0026210048,0.0,0.0149500575
24_-125_vh,0.010798859,0.004149821,0.0,0.014948681
-14_-134_vh,0.010611661,0.004336828,0.0,0.014948489
-16_-117_h,0.011102736,0.0038443925,0.0,0.0149471285
0_-103_h,0.011349871,0.003594395,0.0,0.014944266
-11_176_h,0.011529698,0.0034131163,0.0,0.014942815
3_175_vh,0.013302836,0.0016360568,0.0,0.014938893
6_-126_vh,0.010338509,0.0045992997,0.0,0.014937809
6_-126_v,0.010610744,0.0043265847,0.0,0.014937329
5_-95_vh,0.013818718,0.0011149349,0.0,0.014933652
-13_-109,0.009208822,0.0057153716,0.0,0.014924193
14_-133_h,0.010472715,0.0044437097,0.0,0.014916425
17_-127_h,0.011193921,0.0037212288,0.0,0.01491515
-6_-124_vh,0.011364952,0.0035498245,0.0,0.014914776
-3_-107_h,0.010566532,0.0043309736,0.0,0.014897505
-1_-122,0.012650207,0.0022423035,0.0,0.01489251
21_-99,0.009781598,0.0051095537,0.0,0.014891151
15_-98_vh,0.013232213,0.0016458577,0.0,0.014878071
-4_177_h,0.011727502,0.0031498182,0.0,0.014877319
