img,box,obj,cls,loss
-2_177_h,0.019198978,0.0022021767,0.0,0.021401156
-15_-110_vh,0.0097724795,0.011628018,0.0,0.021400496
26_-116_vh,0.012884875,0.008514343,0.0,0.021399219
3_-125_h,0.015662445,0.0057358746,0.0,0.021398319
-19_-110,0.013861904,0.007533908,0.0,0.021395812
0_173,0.018583847,0.0028076314,0.0,0.02139148
-2_-101_v,0.012184597,0.009202854,0.0,0.02138745
-23_-124_v,0.015851721,0.005533497,0.0,0.021385219
4_157_v,0.017205963,0.004178777,0.0,0.02138474
7_177_vh,0.016926168,0.0044581126,0.0,0.02138428
-11_-109_vh,0.011976525,0.009402673,0.0,0.021379199
-16_-126_v,0.015703484,0.0056724227,0.0,0.021375908
-11_-96_h,0.010838619,0.01052988,0.0,0.0213685
-3_-99,0.011487386,0.009878489,0.0,0.021365875
6_-120_h,0.014254147,0.007097692,0.0,0.02135184
-19_-94_v,0.010680144,0.010670787,0.0,0.021350931
-26_-116_v,0.011812496,0.00953613,0.0,0.021348625
-5_-131,0.011155981,0.010192268,0.0,0.02134825
14_-126_h,0.016744405,0.0046034297,0.0,0.021347836
-15_-103,0.009886359,0.011448008,0.0,0.021334367
5_-119_h,0.015313405,0.006019591,0.0,0.021332996
5_-119_v,0.016730998,0.004596757,0.0,0.021327754
7_-120_h,0.0147824185,0.006539817,0.0,0.021322235
-11_-121_vh,0.01450218,0.0068195364,0.0,0.021321716
28_-104_h,0.0147255035,0.0065944344,0.0,0.021319937
7_-125_v,0.014483266,0.006835886,0.0,0.02131915
-4_-108_h,0.011291961,0.010021677,0.0,0.021313637
-19_-102,0.014929314,0.0063718953,0.0,0.02130121
-20_-104_vh,0.012782156,0.008518854,0.0,0.021301009
-2_-129,0.014930643,0.0063683847,0.0,0.021299027
-16_-126_vh,0.016086763,0.005208074,0.0,0.021294836
3_-95,0.011438169,0.0098552285,0.0,0.021293398
-27_-108_vh,0.013869728,0.0074225054,0.0,0.021292234
-18_-98,0.012193441,0.009095542,0.0,0.021288984
-18_-112,0.014388259,0.0068999017,0.0,0.02128816
